iter	Passed	Remaining
1195	11075	81527
1196	11083	81512
1197	11091	81493
1198	11100	81478
1199	11108	81464
1200	11117	81448
1201	11125	81431
1202	11133	81413
1203	11143	81408
1204	11152	81397
1205	11161	81386
1206	11169	81370
1207	11178	81359
1208	11187	81350
1209	11196	81333
1210	11204	81319
1211	11213	81308
1212	11223	81301
1213	11231	81283
1214	11240	81270
1215	11249	81260
1216	11258	81252
1217	11266	81233
1218	11274	81214
1219	11282	81200
1220	11291	81185
1221	11299	81166
1222	11307	81150
1223	11316	81135
1224	11324	81117
1225	11332	81103
1226	11340	81087
1227	11349	81073
1228	11358	81065
1229	11367	81053
1230	11376	81043
1231	11385	81028
1232	11395	81024
1233	11404	81014
1234	11412	80996
1235	11420	80981
1236	11429	80968
1237	11437	80952
1238	11446	80935
1239	11454	80919
1240	11462	80903
1241	11472	80895
1242	11481	80887
1243	11490	80877
1244	11499	80867
1245	11507	80851
1246	11516	80838
1247	11525	80826
1248	11533	80811
1249	11541	80793
1250	11550	80781
1251	11559	80767
1252	11567	80752
1253	11576	80741
1254	11585	80728
1255	11594	80719
1256	11602	80703
1257	11611	80692
1258	11621	80683
1259	11630	80673
1260	11639	80661
1261	11647	80643
1262	11655	80631
1263	11664	80619
1264	11673	80607
1265	11681	80590
1266	11690	80577
1267	11699	80564
1268	11707	80548
1269	11716	80537
1270	11724	80523
1271	11733	80510
1272	11741	80494
1273	11750	80485
1274	11759	80471
1275	11768	80457
1276	11776	80445
1277	11784	80429
1278	11794	80422
1279	11803	80408
1280	11812	80399
1281	11820	80384
1282	11829	80369
1283	11837	80354
1284	11845	80336
1285	11853	80319
1286	11862	80309
1287	11870	80292
1288	11879	80279
1289	11887	80261
1290	11896	80251
1291	11905	80240
1292	11919	80265
1293	11929	80262
1294	11939	80254
1295	11948	80247
1296	11956	80230
1297	11965	80216
1298	11974	80209
1299	11984	80202
1300	11993	80190
1301	12002	80184
1302	12010	80167
1303	12020	80159
1304	12029	80151
1305	12037	80132
1306	12045	80119
1307	12054	80104
1308	12062	80087
1309	12070	80072
1310	12079	80057
1311	12087	80045
1312	12096	80032
1313	12105	80024
1314	12114	80012
1315	12124	80009
1316	12133	79997
1317	12141	79981
1318	12151	79977
1319	12160	79967
1320	12169	79956
1321	12177	79937
1322	12187	79932
1323	12195	79916
1324	12204	79903
1325	12212	79889
1326	12221	79877
1327	12229	79862
1328	12238	79848
1329	12246	79833
1330	12255	79823
1331	12263	79806
1332	12271	79788
1333	12280	79776
1334	12288	79760
1335	12296	79744
1336	12305	79729
1337	12313	79713
1338	12321	79701
1339	12330	79688
1340	12338	79673
1341	12347	79659
1342	12356	79651
1343	12365	79640
1344	12374	79631
1345	12383	79619
1346	12391	79604
1347	12401	79594
1348	12409	79582
1349	12418	79571
1350	12427	79559
1351	12436	79550
1352	12445	79540
1353	12454	79530
1354	12464	79521
1355	12471	79504
1356	12480	79493
1357	12490	79483
1358	12498	79472
1359	12506	79455
1360	12515	79443
1361	12524	79434
1362	12533	79424
1363	12543	79415
1364	12552	79408
1365	12561	79395
1366	12569	79378
1367	12578	79367
1368	12586	79351
1369	12595	79340
1370	12603	79324
1371	12612	79312
1372	12619	79295
1373	12628	79280
1374	12636	79266
1375	12646	79258
1376	12654	79241
1377	12662	79225
1378	12670	79210
1379	12678	79195
1380	12686	79177
1381	12694	79163
1382	12702	79146
1383	12712	79139
1384	12720	79124
1385	12729	79114
1386	12738	79104
1387	12747	79090
1388	12756	79079
1389	12765	79069
1390	12773	79055
1391	12781	79037
1392	12789	79023
1393	12798	79011
1394	12806	78994
1395	12814	78980
1396	12822	78965
1397	12831	78952
1398	12839	78939
1399	12848	78925
1400	12856	78912
1401	12866	78905
1402	12875	78895
1403	12884	78887
1404	12895	78885
1405	12905	78880
1406	12914	78874
1407	12924	78869
1408	12933	78858
1409	12941	78842
1410	12950	78829
1411	12958	78818
1412	12967	78806
1413	12976	78794
1414	12985	78782
1415	12993	78768
1416	13002	78759
1417	13010	78743
1418	13019	78728
1419	13027	78714
1420	13036	78703
1421	13043	78683
1422	13052	78669
1423	13060	78658
1424	13071	78657
1425	13080	78645
1426	13088	78629
1427	13097	78619
1428	13106	78611
1429	13115	78600
1430	13125	78594
1431	13133	78582
1432	13141	78566
1433	13150	78554
1434	13158	78539
1435	13167	78527
1436	13176	78517
1437	13185	78506
1438	13194	78495
1439	13202	78478
1440	13210	78464
1441	13219	78452
1442	13227	78437
1443	13235	78424
1444	13243	78407
1445	13253	78402
1446	13260	78382
1447	13269	78370
1448	13279	78365
1449	13287	78349
1450	13296	78341
1451	13305	78332
1452	13314	78321
1453	13323	78307
1454	13331	78293
1455	13339	78280
1456	13347	78264
1457	13356	78249
1458	13364	78236
1459	13373	78225
1460	13381	78211
1461	13389	78196
1462	13399	78189
1463	13407	78175
1464	13416	78161
1465	13425	78154
1466	13433	78140
1467	13443	78131
1468	13451	78119
1469	13460	78109
1470	13469	78100
1471	13478	78089
1472	13487	78078
1473	13496	78068
1474	13505	78059
1475	13514	78044
1476	13521	78027
1477	13529	78011
1478	13538	77997
1479	13546	77982
1480	13554	77968
1481	13562	77952
1482	13571	77939
1483	13578	77920
1484	13587	77908
1485	13595	77894
1486	13604	77883
1487	13612	77869
1488	13621	77861
1489	13630	77849
1490	13638	77835
1491	13647	77823
1492	13657	77819
1493	13666	77810
1494	13675	77799
1495	13684	77788
1496	13693	77776
1497	13701	77764
1498	13711	77757
1499	13720	77751
1500	13730	77743
1501	13738	77729
1502	13747	77716
1503	13755	77703
1504	13764	77692
1505	13772	77677
1506	13780	77665
1507	13790	77660
1508	13799	77649
1509	13809	77643
1510	13819	77638
1511	13828	77631
1512	13838	77627
1513	13848	77622
1514	13862	77640
1515	13884	77703
1516	13905	77757
1517	13921	77789
1518	13948	77877
1519	13968	77929
1520	13989	77984
1521	14005	78012
1522	14018	78026
1523	14031	78039
1524	14042	78037
1525	14052	78033
1526	14060	78018
1527	14068	78004
1528	14077	77990
1529	14086	77981
1530	14093	77961
1531	14101	77945
1532	14110	77933
1533	14120	77927
1534	14128	77915
1535	14137	77904
1536	14147	77896
1537	14156	77889
1538	14165	77879
1539	14174	77868
1540	14183	77857
1541	14191	77843
1542	14200	77832
1543	14208	77817
1544	14217	77803
1545	14226	77792
1546	14235	77783
1547	14244	77773
1548	14252	77757
1549	14260	77744
1550	14269	77731
1551	14277	77717
1552	14285	77703
1553	14294	77690
1554	14302	77677
1555	14310	77657
1556	14319	77646
1557	14327	77633
1558	14336	77623
1559	14346	77616
1560	14355	77605
1561	14363	77589
1562	14370	77573
1563	14379	77562
1564	14388	77551
1565	14396	77536
1566	14405	77524
1567	14413	77509
1568	14422	77497
1569	14430	77485
1570	14440	77478
1571	14448	77465
1572	14458	77457
1573	14467	77445
1574	14475	77434
1575	14485	77425
1576	14493	77410
1577	14501	77399
1578	14510	77387
1579	14519	77378
1580	14527	77362
1581	14536	77349
1582	14544	77336
1583	14554	77327
1584	14563	77317
1585	14571	77303
1586	14581	77296
1587	14589	77282
1588	14597	77266
1589	14606	77256
1590	14615	77248
1591	14625	77240
1592	14633	77229
1593	14642	77215
1594	14650	77202
1595	14658	77187
1596	14667	77176
1597	14675	77162
1598	14683	77147
1599	14692	77138
1600	14703	77135
1601	14712	77126
1602	14721	77115
1603	14730	77106
1604	14740	77098
1605	14749	77088
1606	14758	77078
1607	14767	77068
1608	14776	77060
1609	14784	77046
1610	14795	77043
1611	14804	77033
1612	14813	77022
1613	14821	77011
1614	14830	76998
1615	14839	76988
1616	14848	76978
1617	14856	76964
1618	14865	76954
1619	14874	76941
1620	14883	76932
1621	14891	76916
1622	14899	76904
1623	14908	76890
1624	14917	76880
1625	14926	76871
1626	14934	76859
1627	14944	76850
1628	14952	76838
1629	14961	76828
1630	14970	76817
1631	14980	76810
1632	14989	76800
1633	14998	76792
1634	15007	76783
1635	15016	76771
1636	15024	76758
1637	15032	76742
1638	15041	76729
1639	15049	76717
1640	15058	76705
1641	15067	76697
1642	15077	76688
1643	15086	76678
1644	15095	76669
1645	15104	76658
1646	15112	76647
1647	15121	76635
1648	15129	76619
1649	15138	76607
1650	15146	76595
1651	15155	76583
1652	15164	76575
1653	15173	76564
1654	15182	76552
1655	15191	76544
1656	15201	76540
1657	15210	76528
1658	15219	76519
1659	15228	76508
1660	15237	76500
1661	15247	76492
1662	15255	76481
1663	15264	76471
1664	15273	76459
1665	15282	76450
1666	15292	76443
1667	15300	76429
